Diff_Out_Magnitude X,Diff_Out_Magnitude Y,Diff_Out_Phase X,Diff_Out_Phase Y
18836.49089489802,72.31617998015574,18836.49089489802,-62.51755142458767
19952.62314968881,71.91803390891801,19952.62314968881,-63.84666956329746
21134.89039836648,71.51086935108364,21134.89039836648,-65.12995158206893
22387.21138568341,71.09531537159243,22387.21138568341,-66.36650725932328
23713.73705661657,70.67198726130941,23713.73705661657,-67.55583329748808
25118.86431509582,70.2414809453106,25118.86431509582,-68.69777752475582
26607.25059798811,69.80436855954417,26607.25059798811,-69.79250117028633
28183.82931264456,69.36119512365156,28183.82931264456,-70.84044059578669
29853.82618917962,68.91247621031945,29853.82618917962,-71.84226962392482
31622.77660168382,68.45869649430216,31622.77660168382,-72.79886334567919
33496.54391578279,68.00030905739332,33496.54391578279,-73.71126406226129
35481.33892335757,67.53773532536933,35481.33892335757,-74.58064980182158
37583.74042884444,67.07136551866201,37583.74042884444,-75.40830567586862
39810.71705534976,66.6015595076192,39810.71705534976,-76.19559818992855
42169.65034285826,66.1286479747412,42169.65034285826,-76.94395250811218
44668.35921509634,65.65293379884335,44668.35921509634,-77.65483258509877
47315.12589614809,65.17469358863528,47315.12589614809,-78.32972401427422
50118.72336272727,64.69417930544661,50118.72336272727,-78.97011940170327
53088.44442309887,64.21161992602396,53088.44442309887,-79.57750605086547
56234.13251903495,63.72722310639194,56234.13251903495,-80.15335573200606
59566.21435290109,63.24117681660447,59566.21435290109,-80.69911631025813
63095.73444801938,62.75365092374884,63095.73444801938,-81.21620501300437
66834.39175686151,62.26479870689943,66834.39175686151,-81.7060031291241
70794.57843841385,61.77475829291645,70794.57843841385,-82.16985194687838
74989.42093324565,61.28365400624251,74989.42093324565,-82.60904975539442
79432.82347242822,60.79159762915165,79432.82347242822,-83.02484975030271
84139.51416451958,60.29868957154325,84139.51416451958,-83.41845870235444
89125.09381337464,59.80501995134776,89125.09381337464,-83.79103626455385
94406.08762859243,59.31066958805648,94406.08762859243,-84.14369480777015
100000.0000000001,58.81571091295427,100000.0000000001,-84.47749969059613
105925.372517729,58.32020880031295,105925.372517729,-84.79346988097863
112201.8454301965,57.82422132425469,112201.8454301965,-85.09257885980095
118850.222743702,57.32780044621278,118850.222743702,-85.37575574640746
125892.5411794169,56.83099263798668,125892.5411794169,-85.64388659558264
133352.1432163326,56.33383944533246,133352.1432163326,-85.89781582309419
141253.7544622756,55.83637799690838,141253.7544622756,-86.13834772482998
149623.5656094435,55.33864146316566,149623.5656094435,-86.36624805921774
158489.3192461116,54.84065946957159,158489.3192461116,-86.58224566932294
167880.4018122563,54.34245846825031,167880.4018122563,-86.78703412378178
177827.9410038925,53.84406207188847,177827.9410038925,-86.98127336145413
188364.9089489803,53.34549135343752,188364.9089489803,-87.16559132598636
199526.2314968882,52.84676511489284,199526.2314968882,-87.34058558054748
211348.903983665,52.3479001281553,211348.903983665,-87.5068248949248
223872.1138568343,51.84891135070826,223872.1138568343,-87.6648507982874
237137.3705661659,51.34981211863207,237137.3705661659,-87.8151790941795
251188.6431509584,50.85061431921445,251188.6431509584,-87.95830133384723
266072.5059798813,50.35132854522946,266072.5059798813,-88.0946862464216
281838.2931264458,49.85196423274524,281838.2931264458,-88.22478112463332
298538.2618917964,49.35252978414831,298538.2618917964,-88.34901316599533
316227.7660168384,48.85303267789979,316227.7660168384,-88.46779076959783
