Phase X,Phase Y,Gain X,Gain Y
112201.8454301965,-0.2259741257560426,112201.8454301965,6.017523573454363
118850.222743702,-0.2393405679416545,118850.222743702,6.017522890235432
125892.5411794169,-0.2535003368366832,125892.5411794169,6.017522123647701
133352.1432163326,-0.268500367961068,133352.1432163326,6.017521263517212
141253.7544622756,-0.284390382257401,141253.7544622756,6.017520298428361
149623.5656094435,-0.3012230509504161,149623.5656094435,6.017519215572113
158489.3192461116,-0.3190541701956304,158489.3192461116,6.017518000576089
167880.4018122563,-0.3379428460981476,167880.4018122563,6.017516637313543
177827.9410038925,-0.3579516907170394,177827.9410038925,6.017515107689152
188364.9089489803,-0.3791470297077199,188364.9089489803,6.017513391398667
199526.2314968882,-0.4015991222940324,199526.2314968882,6.017511465658943
211348.903983665,-0.4253823943025009,211348.903983665,6.01750930490534
