"dB20(v(""/net6"" ?result ""ac"")) X","dB20(v(""/net6"" ?result ""ac"")) Y","phase(v(""/net6"" ?result ""ac"")) Y"
28444.61107,-9.170886251,0.000888025
28510.18268,-9.170886251,0.000890072
28575.90543,-9.170886251,0.000892124
28641.7797,-9.170886251,0.00089418
28707.80582,-9.170886251,0.000896241
28773.98415,-9.170886251,0.000898308
28840.31503,-9.170886251,0.000900378
28906.79882,-9.170886251,0.000902454
28973.43588,-9.170886251,0.000904534
29040.22654,-9.170886251,0.000906619
29107.17118,-9.170886251,0.000908709
29174.27014,-9.170886251,0.000910804
29241.52378,-9.170886251,0.000912904
29308.93245,-9.170886251,0.000915008
29376.49652,-9.170886251,0.000917118
29444.21634,-9.170886251,0.000919232
29512.09227,-9.170886251,0.000921351
29580.12467,-9.170886251,0.000923475
29648.3139,-9.170886251,0.000925604
29716.66032,-9.170886251,0.000927737
29785.16429,-9.170886251,0.000929876
29853.82619,-9.170886251,0.00093202
29922.64637,-9.170886251,0.000934168
29991.62519,-9.170886251,0.000936322
30060.76303,-9.170886251,0.00093848
30130.06024,-9.170886251,0.000940643
30199.5172,-9.170886251,0.000942812
30269.13428,-9.170886251,0.000944985
30338.91184,-9.170886251,0.000947164
30408.85026,-9.170886251,0.000949347
30478.9499,-9.170886251,0.000951536
30549.21113,-9.170886251,0.000953729
30619.63434,-9.170886251,0.000955928
30690.21988,-9.170886251,0.000958131
30760.96815,-9.170886251,0.00096034
30831.8795,-9.170886251,0.000962554
30902.95433,-9.170886251,0.000964773
30974.19299,-9.170886251,0.000966997
31045.59588,-9.170886251,0.000969226
31117.16337,-9.170886251,0.00097146
31188.89584,-9.170886251,0.0009737
31260.79367,-9.170886251,0.000975944
31332.85724,-9.170886251,0.000978194
31405.08694,-9.170886251,0.000980449
31477.48314,-9.17088625,0.000982709
31550.04623,-9.17088625,0.000984975
31622.7766,-9.17088625,0.000987245
31695.67463,-9.17088625,0.000989521
31768.74071,-9.17088625,0.000991802
31841.97522,-9.17088625,0.000994088
31915.37855,-9.17088625,0.00099638
31988.9511,-9.17088625,0.000998677
32062.69325,-9.17088625,0.001000979
32136.60539,-9.17088625,0.001003287
32210.68791,-9.17088625,0.001005599
32284.94122,-9.17088625,0.001007918
32359.36569,-9.17088625,0.001010241
32433.96173,-9.17088625,0.00101257
32508.72974,-9.17088625,0.001014904
32583.6701,-9.17088625,0.001017244
32658.78322,-9.17088625,0.001019589
32734.06949,-9.17088625,0.001021939
32809.52931,-9.17088625,0.001024295
32885.16309,-9.17088625,0.001026656
32960.97122,-9.17088625,0.001029023
33036.9541,-9.17088625,0.001031395
33113.11215,-9.17088625,0.001033773
33189.44576,-9.17088625,0.001036156
33265.95533,-9.17088625,0.001038544
33342.64128,-9.17088625,0.001040938
33419.504,-9.17088625,0.001043338
33496.54392,-9.17088625,0.001045743
33573.76142,-9.17088625,0.001048154
33651.15694,-9.17088625,0.00105057
33728.73087,-9.17088625,0.001052992
33806.48362,-9.17088625,0.001055419
33884.41561,-9.17088625,0.001057852
33962.52726,-9.17088625,0.001060291
34040.81897,-9.17088625,0.001062735
34119.29116,-9.17088625,0.001065185
34197.94425,-9.17088625,0.00106764
34276.77865,-9.17088625,0.001070102
34355.79479,-9.17088625,0.001072568
34434.99308,-9.17088625,0.001075041
34514.37393,-9.17088625,0.001077519
34593.93778,-9.17088625,0.001080003
34673.68505,-9.17088625,0.001082493
34753.61614,-9.17088625,0.001084988
34833.7315,-9.170886249,0.001087489
34914.03155,-9.170886249,0.001089996
34994.5167,-9.170886249,0.001092509
35075.1874,-9.170886249,0.001095028
35156.04405,-9.170886249,0.001097552
35237.0871,-9.170886249,0.001100082
35318.31698,-9.170886249,0.001102618
35399.73411,-9.170886249,0.00110516
35481.33892,-9.170886249,0.001107707
35563.13186,-9.170886249,0.001110261
35645.11334,-9.170886249,0.00111282
35727.28382,-9.170886249,0.001115386
35809.64371,-9.170886249,0.001117957
35892.19346,-9.170886249,0.001120534
35974.93352,-9.170886249,0.001123117
36057.8643,-9.170886249,0.001125706
36140.98626,-9.170886249,0.001128301
36224.29984,-9.170886249,0.001130902
36307.80548,-9.170886249,0.001133509
36391.50361,-9.170886249,0.001136122
36475.39469,-9.170886249,0.001138741
36559.47916,-9.170886249,0.001141366
36643.75746,-9.170886249,0.001143997
36728.23005,-9.170886249,0.001146635
36812.89736,-9.170886249,0.001149278
36897.75986,-9.170886249,0.001151927
36982.81798,-9.170886249,0.001154583
37068.07218,-9.170886249,0.001157244
37153.52291,-9.170886249,0.001159912
37239.17063,-9.170886249,0.001162586
37325.01578,-9.170886249,0.001165266
37411.05883,-9.170886249,0.001167952
37497.30022,-9.170886249,0.001170645
37583.74043,-9.170886249,0.001173343
37670.3799,-9.170886249,0.001176048
37757.21909,-9.170886249,0.001178759
37844.25847,-9.170886249,0.001181476
