Diff_Out_Magnitude X,Diff_Out_Magnitude Y
251188.6431509584,-77.95695061550654
266072.5059798813,-78.30963218269594
281838.2931264458,-78.65018464860646
298538.2618917964,-78.97808102266163
316227.7660168384,-79.29283621033287
334965.4391578281,-79.5940514704136
354813.389233576,-79.88138437983012
375837.4042884447,-80.15458941936743
398107.1705534979,-80.41350538120216
421696.5034285829,-80.65806337834827
446683.5921509638,-80.88829474986234
473151.2589614813,-81.10432110748346
501187.2336272731,-81.30635758748035
530884.4442309892,-81.49470188215959
562341.3251903499,-81.66973161757696
595662.1435290114,-81.83188936341421
630957.3444801943,-81.98168307552037
668343.9175686156,-82.11966262166709
707945.784384139,-82.24641425153122
749894.2093324569,-82.36254907082157
794328.2347242826,-82.46869479365756
841395.1416451962,-82.56548245957927
891250.9381337467,-82.65354084290257
944060.8762859247,-82.73348649904173
1000000.000000001,-82.80591977224917
1059253.72517729,-82.8714171942477
1122018.454301965,-82.93053126903428
1188502.22743702,-82.98378336959233
1258925.411794169,-83.03166447678197
1333521.432163326,-83.07463244172389
1412537.544622756,-83.11311395825916
1496235.656094436,-83.1475014205042
1584893.192461116,-83.1781554084241
1678804.018122563,-83.20540595864186
1778279.410038925,-83.2295516565826
1883649.089489803,-83.25086185816721
1995262.314968882,-83.26957989971631
2113489.03983665,-83.28592055162184
2238721.138568343,-83.30007537277842
2371373.705661659,-83.31221119530292
2511886.431509584,-83.3224732620366
2660725.059798813,-83.33098487887794
2818382.931264458,-83.33784869984925
2985382.618917964,-83.34314915564505
3162277.660168384,-83.34695102832227
3349654.391578281,-83.34930123235951
3548133.892335759,-83.35022939062496
3758374.042884447,-83.34974708036661
3981071.705534978,-83.3478488630571
4216965.034285828,-83.34451144306543
4466835.921509637,-83.3396940029187
4731512.589614811,-83.33333703249762
5011872.33627273,-83.32536218691195
5308844.442309891,-83.31567038449934
5623413.251903499,-83.30414143722898
5956621.435290113,-83.29063178761885
6309573.444801942,-83.27497299949826
6683439.175686155,-83.25696902495187
7079457.843841389,-83.2363938245531
7498942.093324569,-83.21298801136466
7943282.347242827,-83.1864550386375
8413951.416451963,-83.15645717602541
8912509.381337468,-83.12261057952117
9440608.762859248,-83.08447980666024
10000000.00000001,-83.04157192992187
10592537.2517729,-82.99332995298037
11220184.54301965,-82.939125573133
11885022.2743702,-82.87825173363973
12589254.11794169,-82.80991497542408
13335214.32163326,-82.73322750793837
14125375.44622757,-82.64719996760613
14962356.56094436,-82.55073483067119
15848931.92461116,-82.44262133173936
16788040.18122563,-82.32153257670028
17782794.10038926,-82.18602578525703
18836490.89489803,-82.03454679008024
19952623.14968883,-81.86543979074285
21134890.3983665,-81.67696367183072
22387211.38568343,-81.46731579026036
23713737.05661659,-81.23466389961335
25118864.31509584,-80.97718636297995
26607250.59798814,-80.69311985196607
28183829.31264459,-80.38081290905143
29853826.18917965,-80.03878244677085
31622776.60168385,-79.66576932918025
33496543.91578282,-79.26078833977232
35481338.92335761,-78.8231675237713
37583740.42884448,-78.352572232493
39810717.0553498,-77.84901016225596
42169650.3428583,-77.31281521281126
44668359.21509639,-76.74460982394699
47315125.89614813,-76.14524725496015
50118723.36272731,-75.51573666929951
53088444.42309893,-74.85715473370034
56234132.51903501,-74.1705474932146
59566214.35290115,-73.45682569259488
63095734.44801944,-72.71665549953609
66834391.75686158,-71.95034499107584
70794578.43841392,-71.15772482776183
74989420.93324572,-70.33801937716279
79432823.47242829,-69.48970202653112
84139514.16451965,-68.61032535818416
89125093.81337471,-67.69631291246844
94406087.62859251,-66.74269396559646
100000000.0000002,-65.74275566825173
105925372.5177291,-64.68757808314399
112201845.4301965,-63.56540937282109
118850222.7437021,-62.36084089226772
125892541.1794169,-61.05379330787639
133352143.2163326,-59.61856063671802
141253754.4622757,-58.02406625602137
149623565.6094436,-56.23984792512366
158489319.2461116,-54.26445056210423
167880401.8122563,-52.23015121210825
177827941.0038926,-50.66329300544363
188364908.9489804,-50.47990188773692
199526231.4968883,-51.77057435954766
211348903.983665,-53.63824867895776
223872113.8568344,-55.48494700266578
237137370.566166,-57.14458060449877
251188643.1509585,-58.60942210694865
266072505.9798815,-59.90833689901354
281838293.1264459,-61.07273714005197
298538261.8917965,-62.12909319682688
316227766.0168386,-63.09833370561728
334965439.1578283,-63.99676178927054
354813389.2335762,-64.837100755612
375837404.2884449,-65.62935974507879
398107170.5534981,-66.38149219775008
421696503.4285831,-67.0998840399387
446683592.1509641,-67.78971411400983
473151258.9614815,-68.45522157457708
501187233.6272734,-69.09990601286088
530884444.2309895,-69.72667879894399
562341325.1903503,-70.33797878723999
595662143.5290117,-70.93586174196241
630957344.4801946,-71.5220701843956
668343917.568616,-72.09808850438201
707945784.3841394,-72.66518686896393
749894209.3324574,-73.22445653171516
794328234.7242832,-73.7768384792609
841395141.6451969,-74.32314686812406
891250938.1337475,-74.86408835044548
944060876.2859254,-75.40027812467011
1000000000.000002,-75.93225335117336
1059253725.177291,-76.46048442572808
1122018454.301966,-76.9853844925855
1188502227.437021,-77.50731749547187
1258925411.79417,-78.02660500156462
1333521432.163327,-78.54353198625114
1412537544.622757,-79.05835173082474
1496235656.094437,-79.57128995862769
