Diff_Out_Transient_Settling X,Diff_Out_Transient_Settling Y
5.200000000000002e-10,2.845501612114276e-13
5.300000000000001e-10,2.847722058163527e-13
5.400000000000001e-10,2.849942504212777e-13
5.500000000000001e-10,2.848832281188152e-13
5.6e-10,2.849942504212777e-13
5.7e-10,2.848832281188152e-13
5.8e-10,2.846611835138901e-13
5.899999999999999e-10,2.844391389089651e-13
5.999999999999999e-10,2.842170943040401e-13
6.099999999999999e-10,2.842170943040401e-13
6.199999999999998e-10,2.842170943040401e-13
6.299999999999998e-10,2.842170943040401e-13
6.399999999999998e-10,2.842170943040401e-13
6.499999999999997e-10,2.842170943040401e-13
6.599999999999997e-10,2.842170943040401e-13
6.699999999999997e-10,2.843281166065026e-13
6.799999999999996e-10,2.842170943040401e-13
6.899999999999996e-10,2.842170943040401e-13
6.999999999999995e-10,2.842170943040401e-13
7.099999999999995e-10,2.842170943040401e-13
7.199999999999995e-10,2.842170943040401e-13
7.299999999999994e-10,2.842170943040401e-13
7.399999999999994e-10,2.842170943040401e-13
7.499999999999994e-10,2.843281166065026e-13
7.599999999999993e-10,2.843281166065026e-13
7.699999999999993e-10,2.842170943040401e-13
7.799999999999993e-10,2.841060720015776e-13
7.899999999999992e-10,2.843281166065026e-13
7.999999999999992e-10,2.842170943040401e-13
8.099999999999992e-10,2.841060720015776e-13
8.199999999999991e-10,2.842170943040401e-13
8.299999999999991e-10,2.843281166065026e-13
8.399999999999991e-10,2.843281166065026e-13
8.49999999999999e-10,2.844391389089651e-13
8.59999999999999e-10,2.845501612114276e-13
8.69999999999999e-10,2.847722058163527e-13
8.799999999999989e-10,2.847722058163527e-13
8.899999999999989e-10,2.847722058163527e-13
8.999999999999989e-10,2.847722058163527e-13
9.099999999999988e-10,2.846611835138901e-13
9.199999999999988e-10,2.846611835138901e-13
9.299999999999988e-10,2.846611835138901e-13
9.399999999999988e-10,2.845501612114276e-13
9.499999999999988e-10,2.846611835138901e-13
9.599999999999988e-10,2.849942504212777e-13
9.699999999999987e-10,2.848832281188152e-13
9.799999999999987e-10,2.848832281188152e-13
9.899999999999986e-10,2.849942504212777e-13
9.999999999999986e-10,2.849942504212777e-13
1.009999999999999e-09,2.849942504212777e-13
1.019999999999999e-09,2.848832281188152e-13
1.029999999999999e-09,2.846611835138901e-13
1.039999999999998e-09,2.844391389089651e-13
1.049999999999998e-09,2.845501612114276e-13
1.059999999999998e-09,2.845501612114276e-13
1.069999999999998e-09,2.846611835138901e-13
1.079999999999998e-09,2.844391389089651e-13
1.089999999999998e-09,2.844391389089651e-13
1.099999999999998e-09,2.843281166065026e-13
1.109999999999998e-09,2.844391389089651e-13
1.119999999999998e-09,2.845501612114276e-13
1.129999999999998e-09,2.844391389089651e-13
1.139999999999998e-09,2.845501612114276e-13
1.149999999999998e-09,2.846611835138901e-13
1.159999999999998e-09,2.847722058163527e-13
1.169999999999998e-09,2.847722058163527e-13
1.179999999999998e-09,2.846611835138901e-13
1.189999999999998e-09,2.845501612114276e-13
1.199999999999998e-09,2.844391389089651e-13
1.209999999999998e-09,2.845501612114276e-13
1.219999999999998e-09,2.846611835138901e-13
1.229999999999998e-09,2.844391389089651e-13
1.239999999999998e-09,2.841060720015776e-13
1.249999999999998e-09,2.841060720015776e-13
1.259999999999998e-09,2.83995049699115e-13
1.269999999999998e-09,2.83995049699115e-13
1.279999999999998e-09,2.83995049699115e-13
1.289999999999998e-09,2.8377300509419e-13
1.299999999999998e-09,2.836619827917275e-13
1.309999999999998e-09,2.836619827917275e-13
1.319999999999998e-09,2.836619827917275e-13
1.329999999999997e-09,2.836619827917275e-13
1.339999999999997e-09,2.836619827917275e-13
1.349999999999997e-09,2.838840273966525e-13
1.359999999999997e-09,2.83995049699115e-13
1.369999999999997e-09,2.838840273966525e-13
1.379999999999997e-09,2.838840273966525e-13
1.389999999999997e-09,2.838840273966525e-13
1.399999999999997e-09,2.836619827917275e-13
1.409999999999997e-09,2.836619827917275e-13
1.419999999999997e-09,2.836619827917275e-13
1.429999999999997e-09,2.836619827917275e-13
1.439999999999997e-09,2.8377300509419e-13
1.449999999999997e-09,2.83995049699115e-13
1.459999999999997e-09,2.842170943040401e-13
1.469999999999997e-09,2.843281166065026e-13
1.479999999999997e-09,2.844391389089651e-13
1.489999999999997e-09,2.843281166065026e-13
1.499999999999997e-09,2.845501612114276e-13
1.509999999999997e-09,2.845501612114276e-13
1.519999999999997e-09,2.845501612114276e-13
1.529999999999997e-09,2.844391389089651e-13
1.539999999999997e-09,2.842170943040401e-13
1.549999999999997e-09,2.841060720015776e-13
1.559999999999997e-09,2.841060720015776e-13
1.569999999999997e-09,2.842170943040401e-13
1.579999999999997e-09,2.842170943040401e-13
1.589999999999997e-09,2.83995049699115e-13
1.599999999999997e-09,2.841060720015776e-13
1.609999999999997e-09,2.842170943040401e-13
1.619999999999996e-09,2.842170943040401e-13
1.629999999999996e-09,2.83995049699115e-13
1.639999999999996e-09,2.841060720015776e-13
1.649999999999996e-09,2.83995049699115e-13
1.659999999999996e-09,2.83995049699115e-13
1.669999999999996e-09,2.83995049699115e-13
1.679999999999996e-09,2.841060720015776e-13
1.689999999999996e-09,2.83995049699115e-13
1.699999999999996e-09,2.841060720015776e-13
1.709999999999996e-09,2.843281166065026e-13
1.719999999999996e-09,2.843281166065026e-13
1.729999999999996e-09,2.844391389089651e-13
1.739999999999996e-09,2.845501612114276e-13
1.749999999999996e-09,2.842170943040401e-13
1.759999999999996e-09,2.83995049699115e-13
1.769999999999996e-09,2.838840273966525e-13
1.779999999999996e-09,2.8377300509419e-13
1.789999999999996e-09,2.8377300509419e-13
1.799999999999996e-09,2.836619827917275e-13
1.809999999999996e-09,2.836619827917275e-13
1.819999999999996e-09,2.83550960489265e-13
1.829999999999996e-09,2.834399381868025e-13
1.839999999999996e-09,2.836619827917275e-13
1.849999999999996e-09,2.834399381868025e-13
1.859999999999996e-09,2.832178935818774e-13
1.869999999999996e-09,2.831068712794149e-13
1.879999999999996e-09,2.833289158843399e-13
1.889999999999996e-09,2.829958489769524e-13
1.899999999999996e-09,2.826627820695649e-13
1.909999999999997e-09,2.823297151621773e-13
1.919999999999997e-09,2.824407374646398e-13
1.929999999999997e-09,2.823297151621773e-13
1.939999999999997e-09,2.822186928597148e-13
1.949999999999997e-09,2.822186928597148e-13
1.959999999999997e-09,2.823297151621773e-13
1.969999999999998e-09,2.823297151621773e-13
1.979999999999998e-09,2.822186928597148e-13
1.989999999999998e-09,2.822186928597148e-13
1.999999999999998e-09,2.822186928597148e-13
2.009999999999998e-09,2.822186928597148e-13
2.019999999999998e-09,2.819966482547898e-13
2.029999999999999e-09,2.818856259523272e-13
2.039999999999999e-09,2.817746036498647e-13
2.049999999999999e-09,2.818856259523272e-13
2.059999999999999e-09,2.819966482547898e-13
2.069999999999999e-09,2.818856259523272e-13
2.079999999999999e-09,2.817746036498647e-13
2.09e-09,2.815525590449397e-13
2.1e-09,2.814415367424772e-13
2.11e-09,2.815525590449397e-13
