CM_Gain_vs_Frequency X,CM_Gain_vs_Frequency Y
7943282.347242827,-52.17229793008477
8413951.416451963,-52.16061297091221
8912509.381337468,-52.13831264033661
9440608.762859248,-52.10358447708039
10000000.00000001,-52.05462817079201
10592537.2517729,-51.98973272437704
11220184.54301965,-51.90735947807467
11885022.2743702,-51.80622358771409
12589254.11794169,-51.68536531883811
13335214.32163326,-51.54420258953625
14125375.44622757,-51.38255780388263
14962356.56094436,-51.20065501650809
15848931.92461116,-50.99908731204033
16788040.18122563,-50.77875816815923
17782794.10038926,-50.54080368500784
18836490.89489803,-50.28650433367336
19952623.14968883,-50.01719511694062
21134890.3983665,-49.73418194437603
22387211.38568343,-49.43867005316291
23713737.05661659,-49.13170798349009
25118864.31509584,-48.81414839407932
26607250.59798814,-48.48662517324199
28183829.31264459,-48.14954498949729
29853826.18917965,-47.8030906285957
31622776.60168385,-47.44723309927362
33496543.91578282,-47.08174944826684
35481338.92335761,-46.70624339938936
37583740.42884448,-46.32016623392896
39810717.0553498,-45.92283569411915
42169650.3428583,-45.51345106992217
44668359.21509639,-45.09110298602623
47315125.89614813,-44.65477671190636
50118723.36272731,-44.20334804714418
53088444.42309893,-43.73557096188271
56234132.51903501,-43.25005617229561
59566214.35290115,-42.74523967460175
63095734.44801944,-42.21933991382876
66834391.75686158,-41.67030167932588
70794578.43841392,-41.09572393206886
74989420.93324572,-40.49276748058823
79432823.47242829,-39.85803658406185
84139514.16451965,-39.18742595158646
89125093.81337471,-38.47592091110862
94406087.62859251,-37.7173333340685
100000000.0000002,-36.90394883144504
105925372.5177291,-36.02605188033097
112201845.4301965,-35.07128718344469
118850222.7437021,-34.02381798436556
125892541.1794169,-32.86329334777704
133352143.2163326,-31.56387210375229
141253754.4622757,-30.09445822729663
149623565.6094436,-28.42466531615062
158489319.2461116,-26.55318931045495
167880401.8122563,-24.6125134349289
177827941.0038926,-23.12921971014442
188364908.9489804,-23.0195882585603
199526231.4968883,-24.37449449354474
211348903.983665,-26.2971586716586
223872113.8568344,-28.18985578913664
237137370.566166,-29.88672072614307
251188643.1509585,-31.38021734018135
266072505.9798815,-32.69936367624411
281838293.1264459,-33.87568091688834
298538261.8917965,-34.93570136513263
316227766.0168386,-35.90036650637758
334965439.1578283,-36.7859425720983
354813389.2335762,-37.60506688765049
375837404.2884449,-38.36761547126419
398107170.5534981,-39.08136478336026
421696503.4285831,-39.75248457427679
446683592.1509641,-40.38590440960495
473151258.9614815,-40.98558864539548
501187233.6272734,-41.5547456415466
530884444.2309895,-42.0959896879436
562341325.1903503,-42.61146871215538
595662143.5290117,-43.10296696748031
630957344.4801946,-43.57198914644752
668343917.568616,-44.01983039374902
707945784.3841394,-44.44763526613946
749894209.3324574,-44.8564476442354
794328234.7242832,-45.24725283718242
841395141.6451969,-45.62101256892655
891250938.1337475,-45.97869315262508
944060876.2859254,-46.32128692143381
1000000000.000002,-46.64982687181056
1059253725.177291,-46.96539447502155
1122018454.301966,-47.26912070853756
1188502227.437021,-47.56218053324608
1258925411.79417,-47.84578127254378
1333521432.163327,-48.12114560912738
1412537544.622757,-48.38949017578221
1496235656.094437,-48.65200094842992
1584893192.461117,-48.90980682637019
1678804018.122564,-49.16395288466489
1778279410.038927,-49.41537479350003
1883649089.489805,-49.66487581518692
1995262314.968884,-49.91310761721687
2113489039.836652,-50.16055589440842
2238721138.568345,-50.40753149640746
2371373705.661661,-50.65416743405954
2511886431.509586,-50.9004218152543
2660725059.798816,-51.14608646071949
2818382931.26446,-51.39080069070299
2985382618.917966,-51.63406956583525
3162277660.168386,-51.87528571445404
3349654391.578284,-52.11375378345704
3548133892.335763,-52.34871650558956
3758374042.88445,-52.57938137631343
