Input_Referred_Noise_PSD X,Input_Referred_Noise_PSD Y
501187.2336272731,7.724973021270133e-16
530884.4442309892,7.518034191322531e-16
562341.3251903499,7.322670344375759e-16
595662.1435290114,7.138233883754284e-16
630957.3444801943,6.964113427316375e-16
668343.9175686156,6.799731780322991e-16
707945.784384139,6.644544021543918e-16
749894.2093324569,6.498035696247213e-16
794328.2347242826,6.359721110072219e-16
841395.1416451962,6.229141718118718e-16
891250.9381337467,6.105864603899229e-16
944060.8762859247,5.98948104309783e-16
1000000.000000001,5.879605147357293e-16
1059253.72517729,5.775872583580516e-16
1122018.454301965,5.677939364479615e-16
1188502.22743702,5.585480706339319e-16
1258925.411794169,5.498189950182134e-16
1333521.432163326,5.4157775427281e-16
1412537.544622756,5.337970073738227e-16
1496235.656094436,5.264509366511836e-16
1584893.192461116,5.195151618480813e-16
1678804.018122563,5.129666589003662e-16
1778279.410038925,5.067836831613867e-16
1883649.089489803,5.00945696811719e-16
1995262.314968882,4.954333002064411e-16
2113489.03983665,4.902281669248118e-16
2238721.138568343,4.853129822986311e-16
2371373.705661659,4.806713852060337e-16
2511886.431509584,4.762879129271722e-16
2660725.059798813,4.721479488671738e-16
2818382.931264458,4.682376729598163e-16
2985382.618917964,4.645440145727099e-16
3162277.660168384,4.610546077413485e-16
3349654.391578281,4.577577485651563e-16
3548133.892335759,4.546423546037123e-16
3758374.042884447,4.516979261155767e-16
3981071.705534978,4.489145089856532e-16
4216965.034285828,4.462826591897112e-16
4466835.921509637,4.437934086466095e-16
4731512.589614811,4.414382323098828e-16
5011872.33627273,4.392090163505952e-16
5308844.442309891,4.370980272828491e-16
5623413.251903499,4.350978818818809e-16
5956621.435290113,4.332015177424231e-16
6309573.444801942,4.314021643218395e-16
6683439.175686155,4.296933143085126e-16
7079457.843841389,4.280686951510877e-16
7498942.093324569,4.265222405784756e-16
7943282.347242827,4.250480619340282e-16
8413951.416451963,4.236404191401847e-16
8912509.381337468,4.222936911021912e-16
9440608.762859248,4.210023453514817e-16
10000000.00000001,4.197609067212296e-16
10592537.2517729,4.185639248387406e-16
11220184.54301965,4.174059402123689e-16
11885022.2743702,4.162814486849721e-16
12589254.11794169,4.1518486402253e-16
13335214.32163326,4.141104784064091e-16
14125375.44622757,4.130524206022073e-16
14962356.56094436,4.120046115888117e-16
15848931.92461116,4.109607174503372e-16
16788040.18122563,4.099140993634507e-16
17782794.10038926,4.088577605564032e-16
18836490.89489803,4.077842901774384e-16
19952623.14968883,4.066858040936855e-16
21134890.3983665,4.055538827520728e-16
22387211.38568343,4.04379506377289e-16
23713737.05661659,4.031529879647923e-16
25118864.31509584,4.018639047565566e-16
26607250.59798814,4.00501029171227e-16
28183829.31264459,3.990522605060209e-16
29853826.18917965,3.975045591420123e-16
31622776.60168385,3.958438854724798e-16
33496543.91578282,3.940551463383185e-16
35481338.92335761,3.921221523928086e-16
37583740.42884448,3.900275905214638e-16
39810717.0553498,3.877530161929269e-16
42169650.3428583,3.852788713831497e-16
44668359.21509639,3.825845344508387e-16
47315125.89614813,3.796484089818652e-16
50118723.36272731,3.764480590770715e-16
53088444.42309893,3.729603987222502e-16
56234132.51903501,3.69161942621012e-16
59566214.35290115,3.650291250455094e-16
63095734.44801944,3.605386917174417e-16
66834391.75686158,3.556681673364761e-16
70794578.43841392,3.503963980273866e-16
74989420.93324572,3.447041636512145e-16
79432823.47242829,3.385748496923529e-16
84139514.16451965,3.31995162499172e-16
89125093.81337471,3.249558653833237e-16
94406087.62859251,3.174525069934651e-16
100000000.0000002,3.094861081274365e-16
105925372.5177291,3.010637694603653e-16
112201845.4301965,2.921991612508812e-16
118850222.7437021,2.829128575100916e-16
125892541.1794169,2.73232481683416e-16
133352143.2163326,2.63192638551548e-16
141253754.4622757,2.528346173523682e-16
149623565.6094436,2.422058632443883e-16
158489319.2461116,2.313592271050896e-16
167880401.8122563,2.203520161312203e-16
177827941.0038926,2.092448787296384e-16
188364908.9489804,1.981005659543958e-16
199526231.4968883,1.869826177838192e-16
211348903.983665,1.759540256833286e-16
223872113.8568344,1.650759232457037e-16
237137370.566166,1.544063544495996e-16
251188643.1509585,1.439991644796496e-16
266072505.9798815,1.339030513649548e-16
281838293.1264459,1.241608082061532e-16
298538261.8917965,1.148087758538202e-16
316227766.0168386,1.058765150947679e-16
334965439.1578283,9.73866963731679e-17
354813389.2335762,8.935519459963778e-17
375837404.2884449,8.179136746747271e-17
398107170.5534981,7.469848856928087e-17
421696503.4285831,6.807430193601105e-17
446683592.1509641,6.191166256704579e-17
