LoopGainMagnitude X,LoopGainMagnitude Y,Phase Margin X,Phase Margin Y
7585.77575029186,67.07641949568769,7585.77575029186,143.4805694455214
7943.282347242839,66.92735229719406,7943.282347242839,142.1830681305318
8317.637711026735,66.7695746677486,8317.637711026735,140.87276789442
8709.635899560833,66.6029161074589,8709.635899560833,139.5521131185779
9120.108393559127,66.42723965740031,9120.108393559127,138.2236640450544
9549.925860214391,66.24244411968439,9549.925860214391,136.8900719875735
10000.00000000003,66.04846573223077,10000.00000000003,135.5540523346475
10471.28548050903,65.84527923915998,10471.28548050903,134.2183559866651
10964.78196143189,65.63289832022349,10964.78196143189,132.8857399287445
11481.53621496887,65.41137536315753,11481.53621496887,131.5589376937468
12022.64434617417,65.18080058777066,12022.64434617417,130.240630466223
12589.25411794172,64.94130055241064,12589.25411794172,128.9334195538176
13182.56738556412,64.69303609508368,13182.56738556412,127.6398008860457
13803.8426460289,64.43619977921404,13803.8426460289,126.3621421085771
14454.39770745933,64.17101292805017,14454.39770745933,125.1026627268627
15135.61248436214,63.89772234094107,15135.61248436214,123.8634176246332
15848.9319246112,63.61659678962597,15848.9319246112,122.6462841458898
16595.86907437567,63.32792339198203,16595.86907437567,121.4529528014543
17378.00828749383,63.03200395674747,17378.00828749383,120.2849215349499
18197.00858609991,62.72915138496847,18197.00858609991,119.1434933740131
19054.60717963256,62.41968620264241,19054.60717963256,118.0297772117185
19952.62314968889,62.10393328765801,19952.62314968889,116.9446913859417
20892.96130854049,61.7822188401076,20892.96130854049,115.8889696869315
21877.61623949563,61.45486763200219,21877.61623949563,114.8631693959164
22908.67652767784,61.12220055968109,22908.67652767784,113.8676809507615
23988.32919019503,60.78453251040621,23988.32919019503,112.9027388467649
25118.86431509593,60.44217054437649,25118.86431509593,111.9684334028223
26302.67991895396,60.09541238492285,26302.67991895396,111.06472305452
27542.28703338181,59.74454520263204,27542.28703338181,110.1914468756098
28840.31503126621,59.38984467409544,28840.31503126621,109.3483370690354
30199.51720402033,59.03157429226218,30199.51720402033,108.535031213631
31622.77660168397,58.6699849033107,31622.77660168397,107.751084090801
33113.11214825929,58.30531444378488,33113.11214825929,106.9959789587517
34673.68504525336,57.93778785185361,34673.68504525336,106.2691381733038
36307.80547701034,57.56761712723878,36307.80547701034,105.5699330889874
38018.93963205634,57.19500151568398,38018.93963205634,104.897693199665
39810.71705534996,56.82012779561468,39810.71705534996,104.2517145009477
41686.93834703379,56.44317064652256,41686.93834703379,103.6312670768962
43651.58322401687,56.06429308085993,43651.58322401687,103.0356019256821
45708.81896148779,55.68364692320466,45708.81896148779,102.4639570538562
47863.00923226414,55.3013733227353,47863.00923226414,101.9155628729233
50118.72336272756,54.91760328688745,50118.72336272756,101.3896469423122
52480.7460249776,54.53245822605133,52480.7460249776,100.8854381025375
54954.08738576282,54.14605050079631,54954.08738576282,100.4021700470766
57543.99373371607,53.75848396468978,57543.99373371607,99.93908438017353
60255.95860743618,53.36985449713594,60255.95860743618,99.49543320743261
63095.73444801976,52.98025052184165,63095.73444801976,99.07048130491007
66069.34480076005,52.58975350752948,66069.34480076005,98.6635079110134
69183.09709189413,52.19843844847691,69183.09709189413,98.27380818059879
72443.59600749952,51.80637432311517,72443.59600749952,97.90069434094902
75857.75750291892,51.4136245296162,75857.75750291892,97.54349658403838
79432.82347242872,51.02024729787956,79432.82347242872,97.20156372771579
83176.3771102677,50.62629607775232,83176.3771102677,96.87426367544873
87096.35899560869,50.23181990365723,87096.35899560869,96.56098370122845
91201.08393559164,49.83686373607301,91201.08393559164,96.26113058357879
95499.2586021443,49.44146878050554,95499.2586021443,95.97413061024399
100000.0000000007,49.04567278474119,100000.0000000007,95.69942947286704
104712.8548050907,48.64951031529291,104712.8548050907,95.43649206869829
109647.8196143193,48.25301301401705,109647.8196143193,95.18480222412327
114815.3621496892,47.85620983592373,114815.3621496892,94.94386235359693
120226.4434617422,47.45912726922793,120226.4434617422,94.71319306548453
125892.5411794177,47.06178953869255,125892.5411794177,94.49233272480618
131825.6738556417,46.66421879329791,131825.6738556417,94.28083698211954
138038.4264602896,46.26643527925987,138038.4264602896,94.07827827565652
144543.9770745939,45.86845749936945,144543.9770745939,93.8842453138637
