Vov,,,gm/Id,,,gm/gds,,,fT,,,Id/W,,,Vov,,,gm/Id,,,gm/gds,,,fT,,,Id/W,,
0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u
0.784832374,0.813844179,0.867328284,1.66E+00,1.89E+00,2.03E+00,1.65E+01,3.12E+01,4.61E+01,28000000000,12700000000,2840000000,2.86E+02,1.68E+02,7.51E+01,0.759856829,0.817193301,0.865172633,2.01E+00,2.06E+00,2.08E+00,1.12E+01,1.92E+01,3.94E+01,1.56E+10,4.80E+09,7.72E+08,1.09E+02,5.16E+01,1.87E+01
0.809832374,0.838844179,0.892328284,1.59E+00,1.82E+00,1.96E+00,1.60E+01,2.96E+01,4.26E+01,28000000000,12800000000,2880000000,2.97E+02,1.76E+02,7.90E+01,0.784856829,0.842193301,0.890172633,1.93E+00,1.99E+00,2.02E+00,1.06E+01,1.81E+01,3.68E+01,1.58E+10,4.89E+09,7.88E+08,1.14E+02,5.42E+01,1.96E+01
0.834832374,0.863844179,0.917328284,1.53E+00,1.75E+00,1.89E+00,1.55E+01,2.79E+01,3.92E+01,28000000000,12900000000,2920000000,3.09E+02,1.84E+02,8.28E+01,0.809856829,0.867193301,0.915172633,1.86E+00,1.93E+00,1.96E+00,9.95E+00,1.71E+01,3.43E+01,1.59E+10,4.96E+09,8.04E+08,1.20E+02,5.69E+01,2.06E+01
0.859832374,0.888844179,0.942328284,1.48E+00,1.69E+00,1.83E+00,1.50E+01,2.63E+01,3.59E+01,28000000000,12900000000,2960000000,3.21E+02,1.92E+02,8.68E+01,0.834856829,0.892193301,0.940172633,1.79E+00,1.86E+00,1.91E+00,9.37E+00,1.60E+01,3.17E+01,1.61E+10,5.04E+09,8.20E+08,1.26E+02,5.97E+01,2.17E+01
0.884832374,0.913844179,0.967328284,1.42E+00,1.63E+00,1.77E+00,1.45E+01,2.48E+01,3.27E+01,28000000000,13000000000,2990000000,3.33E+02,2.00E+02,9.08E+01,0.859856829,0.917193301,0.965172633,1.73E+00,1.81E+00,1.85E+00,8.83E+00,1.51E+01,2.91E+01,1.62E+10,5.11E+09,8.35E+08,1.31E+02,6.25E+01,2.27E+01
0.909832374,0.938844179,0.992328284,1.37E+00,1.57E+00,1.71E+00,1.40E+01,2.33E+01,2.95E+01,27900000000,13000000000,3020000000,3.45E+02,2.08E+02,9.48E+01,0.884856829,0.942193301,0.990172633,1.67E+00,1.75E+00,1.80E+00,8.32E+00,1.42E+01,2.64E+01,1.63E+10,5.18E+09,8.49E+08,1.37E+02,6.54E+01,2.38E+01
0.934832374,0.963844179,1.017328284,1.32E+00,1.51E+00,1.65E+00,1.35E+01,2.18E+01,2.66E+01,27900000000,13100000000,3050000000,3.57E+02,2.17E+02,9.89E+01,0.909856829,0.967193301,1.015172633,1.61E+00,1.70E+00,1.75E+00,7.84E+00,1.33E+01,2.38E+01,1.64E+10,5.24E+09,8.63E+08,1.43E+02,6.82E+01,2.48E+01
0.959832374,0.988844179,1.042328284,1.28E+00,1.46E+00,1.60E+00,1.30E+01,2.04E+01,2.37E+01,27800000000,13100000000,3070000000,3.68E+02,2.25E+02,1.03E+02,0.934856829,0.992193301,1.040172633,1.56E+00,1.65E+00,1.70E+00,7.38E+00,1.24E+01,2.12E+01,1.65E+10,5.30E+09,8.76E+08,1.48E+02,7.11E+01,2.59E+01
0.984832374,1.013844179,1.067328284,1.23E+00,1.41E+00,1.55E+00,1.26E+01,1.91E+01,2.11E+01,27700000000,13100000000,3090000000,3.80E+02,2.33E+02,1.07E+02,0.959856829,1.017193301,1.065172633,1.51E+00,1.60E+00,1.65E+00,6.95E+00,1.15E+01,1.88E+01,1.66E+10,5.36E+09,8.87E+08,1.54E+02,7.41E+01,2.71E+01
1.009832374,1.038844179,1.092328284,1.19E+00,1.36E+00,1.50E+00,1.21E+01,1.77E+01,1.86E+01,27600000000,13100000000,3100000000,3.92E+02,2.41E+02,1.11E+02,0.984856829,1.042193301,1.090172633,1.46E+00,1.55E+00,1.61E+00,6.54E+00,1.07E+01,1.64E+01,1.66E+10,5.41E+09,8.98E+08,1.60E+02,7.71E+01,2.82E+01
1.034832374,1.063844179,1.117328284,1.15E+00,1.32E+00,1.45E+00,1.16E+01,1.65E+01,1.63E+01,27500000000,13100000000,3110000000,4.03E+02,2.50E+02,1.15E+02,1.009856829,1.067193301,1.115172633,1.41E+00,1.50E+00,1.56E+00,6.15E+00,9.86E+00,1.42E+01,1.67E+10,5.45E+09,9.06E+08,1.66E+02,8.01E+01,2.93E+01
1.059832374,1.088844179,1.142328284,1.11E+00,1.28E+00,1.40E+00,1.11E+01,1.53E+01,1.42E+01,27300000000,13100000000,3110000000,4.15E+02,2.58E+02,1.20E+02,1.034856829,1.092193301,1.140172633,1.36E+00,1.46E+00,1.51E+00,5.78E+00,9.05E+00,1.22E+01,1.67E+10,5.49E+09,9.13E+08,1.72E+02,8.31E+01,3.05E+01
1.084832374,1.113844179,1.167328284,1.08E+00,1.23E+00,1.35E+00,1.07E+01,1.41E+01,1.23E+01,27200000000,13100000000,3110000000,4.27E+02,2.66E+02,1.24E+02,1.059856829,1.117193301,1.165172633,1.32E+00,1.42E+00,1.47E+00,5.42E+00,8.27E+00,1.04E+01,1.67E+10,5.52E+09,9.19E+08,1.78E+02,8.61E+01,3.16E+01
1.109832374,1.138844179,1.192328284,1.04E+00,1.19E+00,1.30E+00,1.02E+01,1.30E+01,1.07E+01,27100000000,13100000000,3100000000,4.38E+02,2.74E+02,1.28E+02,1.084856829,1.142193301,1.190172633,1.28E+00,1.37E+00,1.42E+00,5.08E+00,7.50E+00,8.92E+00,1.67E+10,5.54E+09,9.22E+08,1.83E+02,8.92E+01,3.28E+01
1.134832374,1.163844179,1.217328284,1.01E+00,1.15E+00,1.25E+00,9.79E+00,1.20E+01,9.20E+00,26900000000,13000000000,3080000000,4.49E+02,2.82E+02,1.32E+02,1.109856829,1.167193301,1.215172633,1.24E+00,1.33E+00,1.37E+00,4.75E+00,6.78E+00,7.65E+00,1.67E+10,5.55E+09,9.23E+08,1.89E+02,9.23E+01,3.39E+01
1.159832374,1.188844179,1.242328284,9.81E-01,1.12E+00,1.21E+00,9.35E+00,1.10E+01,7.91E+00,26700000000,12900000000,3060000000,4.61E+02,2.90E+02,1.36E+02,1.134856829,1.192193301,1.240172633,1.20E+00,1.29E+00,1.33E+00,4.44E+00,6.11E+00,6.57E+00,1.67E+10,5.56E+09,9.22E+08,1.95E+02,9.53E+01,3.51E+01
