M0:cdd (L=1.80e-07) Y,M0:cdd (L=3.60e-07) Y,M0:cdd (L=1.00e-06) Y,M0:cgb (L=1.80e-07) Y,M0:cgb (L=3.60e-07) Y,M0:cgb (L=1.00e-06) Y,M0:cgd (L=1.80e-07) Y,M0:cgd (L=3.60e-07) Y,M0:cgd (L=1.00e-06) Y,M0:cgg (L=1.80e-07) Y,M0:cgg (L=3.60e-07) Y,M0:cgg (L=1.00e-06) Y,M0:cgs (L=1.80e-07) Y,M0:cgs (L=3.60e-07) Y,M0:cgs (L=1.00e-06) Y,M0:cjd (L=1.80e-07) Y,M0:cjd (L=3.60e-07) Y,M0:cjd (L=1.00e-06) Y,M0:cjs (L=1.80e-07) Y,M0:cjs (L=3.60e-07) Y,M0:cjs (L=1.00e-06) Y,M0:css (L=1.80e-07) Y,M0:css (L=3.60e-07) Y,M0:css (L=1.00e-06) Y,M0:gds (L=1.80e-07) Y,M0:gds (L=3.60e-07) Y,M0:gds (L=1.00e-06) Y,M0:gm (L=1.80e-07) Y,M0:gm (L=3.60e-07) Y,M0:gm (L=1.00e-06) Y,M0:id (L=1.80e-07) Y,M0:id (L=3.60e-07) Y,M0:id (L=1.00e-06) Y,M0:vgs (L=1.80e-07) Y,M0:vgs (L=3.60e-07) Y,M0:vgs (L=1.00e-06) Y,M0:vth (L=1.80e-07) Y,M0:vth (L=3.60e-07) Y,M0:vth (L=1.00e-06) Y
3.25E-15,3.24E-15,3.22E-15,-8.98E-16,-1.27E-15,-2.54E-15,-3.24E-15,-3.22E-15,-3.16E-15,9.17E-15,1.57E-14,3.82E-14,-5.03E-15,-1.12E-14,-3.25E-14,0,0,0,0,0,0,4.21E-15,7.62E-15,1.98E-14,4.40E-07,3.66E-07,1.65E-07,3.85E-05,4.07E-05,2.42E-05,-1.76E-06,-2.05E-06,-1.44E-06,-0.5,-0.5,-0.5,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-7.23E-16,-1.01E-15,-2.21E-15,-3.24E-15,-3.22E-15,-3.16E-15,9.71E-15,1.65E-14,3.91E-14,-5.74E-15,-1.22E-14,-3.37E-14,0,0,0,0,0,0,4.59E-15,8.20E-15,2.05E-14,7.14E-07,5.42E-07,2.22E-07,6.35E-05,6.02E-05,3.21E-05,-3.01E-06,-3.30E-06,-2.14E-06,-0.525,-0.525,-0.525,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-5.64E-16,-8.43E-16,-2.02E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.02E-14,1.70E-14,3.96E-14,-6.39E-15,-1.29E-14,-3.44E-14,0,0,0,0,0,0,4.94E-15,8.57E-15,2.09E-14,1.12E-06,7.64E-07,2.86E-07,0.000100364,8.40E-05,4.03E-05,-5.03E-06,-5.10E-06,-3.05E-06,-0.55,-0.55,-0.55,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-4.44E-16,-7.44E-16,-1.90E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.06E-14,1.73E-14,3.98E-14,-6.89E-15,-1.33E-14,-3.48E-14,0,0,0,0,0,0,5.20E-15,8.79E-15,2.11E-14,1.69E-06,1.03E-06,3.55E-07,0.000150415,0.000110331,4.85E-05,-8.14E-06,-7.52E-06,-4.16E-06,-0.575,-0.575,-0.575,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-3.65E-16,-6.85E-16,-1.83E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.08E-14,1.74E-14,4.00E-14,-7.22E-15,-1.35E-14,-3.50E-14,0,0,0,0,0,0,5.38E-15,8.90E-15,2.12E-14,2.45E-06,1.34E-06,4.27E-07,0.000212224,0.000137504,5.63E-05,-1.27E-05,-1.06E-05,-5.47E-06,-0.6,-0.6,-0.6,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-3.16E-16,-6.50E-16,-1.77E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.10E-14,1.75E-14,4.00E-14,-7.42E-15,-1.36E-14,-3.51E-14,0,0,0,0,0,0,5.48E-15,8.96E-15,2.12E-14,3.40E-06,1.68E-06,5.02E-07,0.000281814,0.000163959,6.35E-05,-1.88E-05,-1.44E-05,-6.97E-06,-0.625,-0.625,-0.625,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.88E-16,-6.27E-16,-1.72E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.11E-14,1.75E-14,4.01E-14,-7.53E-15,-1.37E-14,-3.52E-14,0,0,0,0,0,0,5.54E-15,9.00E-15,2.13E-14,4.55E-06,2.05E-06,5.79E-07,0.000353932,0.000188734,7.02E-05,-2.68E-05,-1.88E-05,-8.64E-06,-0.65,-0.65,-0.65,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.71E-16,-6.10E-16,-1.68E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.11E-14,1.76E-14,4.01E-14,-7.59E-15,-1.37E-14,-3.52E-14,0,0,0,0,0,0,5.57E-15,9.01E-15,2.13E-14,5.88E-06,2.46E-06,6.58E-07,0.000423763,0.000211444,7.65E-05,-3.65E-05,-2.38E-05,-1.05E-05,-0.675,-0.675,-0.675,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.61E-16,-5.97E-16,-1.65E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.11E-14,1.76E-14,4.01E-14,-7.63E-15,-1.38E-14,-3.53E-14,0,0,0,0,0,0,5.59E-15,9.02E-15,2.13E-14,7.39E-06,2.89E-06,7.39E-07,0.000488072,0.000232126,8.24E-05,-4.79E-05,-2.94E-05,-1.25E-05,-0.7,-0.7,-0.7,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.54E-16,-5.86E-16,-1.61E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.11E-14,1.76E-14,4.01E-14,-7.65E-15,-1.38E-14,-3.53E-14,0,0,0,0,0,0,5.60E-15,9.03E-15,2.13E-14,9.06E-06,3.36E-06,8.24E-07,0.000545434,0.000251046,8.80E-05,-6.08E-05,-3.54E-05,-1.46E-05,-0.725,-0.725,-0.725,-0.515143171,-0.457806699,-0.409827367
